TIME,(596401)AGS Auto Generator State [-],(596401)AGS Auto Generator Action [-],(596401)AGS Generator On Reason [-],(596401)AGS Generator Off Reason [-],(1301703)XW Inverter Status [-],SYSTEM Load Output Power [W],(1301703)XW Load AC Power [W],(1301703)XW Load AC Power - Apparent [VA],(1301703)XW Load AC Current [A],(1301703)XW Load AC L1 Current [A],(1301703)XW Load AC L2 Current [A],SYSTEM XW Load Power [W]
2014/08/27 00:00:00,2,10,0,21,1025,881,864,1060,8.6,2.5,6.1,881
2014/08/27 06:52:00,2,10,0,21,1025,939,941,1166,9.5,3.4,6.1,939
2014/08/27 06:52:05,2,10,0,21,1025,951,957,1180,9.6,3.4,6.3,951
2014/08/27 06:52:10,2,10,0,21,1025,950,959,1180,9.7,3.4,6.3,950
2014/08/27 06:52:15,2,10,0,21,1025,971,960,1190,9.7,3.3,6.4,971
2014/08/27 06:52:20,2,10,0,21,1025,934,931,1163,9.5,3.3,6.1,934
2014/08/27 06:52:25,2,10,0,21,1025,934,930,1179,9.6,3.4,6.2,934
2014/08/27 06:52:30,2,10,0,21,1025,933,939,1172,9.5,3.3,6.2,933
2014/08/27 06:52:35,2,10,0,21,1025,938,931,1165,9.5,3.3,6.2,938
2014/08/27 06:52:40,2,10,0,21,1025,937,955,1169,9.5,3.3,6.2,937
2014/08/27 06:52:45,2,10,0,21,1025,929,923,1166,9.5,3.3,6.2,929
2014/08/27 06:52:50,2,10,0,21,1025,946,938,1167,9.5,3.3,6.2,946
2014/08/27 06:52:55,2,10,0,21,1025,935,928,1182,9.6,3.4,6.2,935
2014/08/27 06:53:00,1,9,3,0,1025,926,946,1171,9.5,3.4,6.2,926
2014/08/27 06:53:05,1,9,3,0,1025,951,949,1177,9.6,3.4,6.2,951
2014/08/27 06:53:10,1,9,3,0,1025,935,931,1175,9.6,3.4,6.2,935
2014/08/27 06:53:15,1,9,3,0,1025,916,944,1168,9.5,3.3,6.2,916
2014/08/27 06:53:20,1,9,3,0,1025,933,922,1171,9.5,3.3,6.2,933
2014/08/27 06:53:25,1,9,3,0,1025,923,942,1175,9.6,3.3,6.3,923
2014/08/27 06:53:30,2,5,3,0,1025,936,928,1173,9.6,3.4,6.2,936
2014/08/27 06:53:35,2,5,3,0,1025,927,927,1177,9.6,3.4,6.2,927
2014/08/27 06:53:40,2,5,3,0,1025,944,936,1175,9.6,3.4,6.3,944
2014/08/27 06:53:45,2,5,3,0,1025,941,935,1167,9.5,3.3,6.2,941
2014/08/27 06:53:50,2,5,3,0,1025,919,934,1170,9.5,3.4,6.1,919
2014/08/27 06:53:55,2,5,3,0,1025,936,950,1151,9.4,3.3,6.1,936
2014/08/27 06:54:00,2,5,3,0,1025,928,927,1171,9.5,3.3,6.2,928
2014/08/27 06:54:05,2,6,0,21,1025,925,935,1160,9.4,3.3,6.1,925
2014/08/27 06:54:10,2,6,0,21,1025,938,952,1173,9.5,3.4,6.2,938
2014/08/27 06:54:15,2,6,0,21,1025,943,939,1148,9.3,3.2,6.1,943
2014/08/27 06:54:20,2,6,0,21,1025,930,919,1171,9.6,3.4,6.2,930
2014/08/27 06:54:25,2,6,0,21,1025,947,955,1201,9.8,3.5,6.3,947
2014/08/27 06:54:30,2,6,0,21,1025,959,940,1187,9.5,3.4,6.2,959
2014/08/27 06:54:35,2,6,0,21,1025,933,947,1172,9.6,3.4,6.2,933
2014/08/27 06:54:40,2,6,0,21,1025,939,926,1164,9.5,3.3,6.2,939
2014/08/27 06:54:45,2,6,0,21,1025,929,927,1175,9.6,3.4,6.2,929
